Loan.number,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
81174,20000,20000,0.0890,36 months,debt_consolidation,0.1490,SC,MORTGAGE,6541.67,735-739,14,14272,2,< 1 year
99592,19200,19200,0.1212,36 months,debt_consolidation,0.2836,TX,MORTGAGE,4583.33,715-719,12,11140,1,2 years
80059,35000,35000,0.2198,60 months,debt_consolidation,0.2381,CA,MORTGAGE,11500,690-694,14,21977,1,2 years
15825,10000,9975,0.0999,36 months,debt_consolidation,0.1430,KS,MORTGAGE,3833.33,695-699,10,9346,0,5 years
33182,12000,12000,0.1171,36 months,credit_card,0.1878,NJ,RENT,3195,695-699,11,14469,0,9 years
62403,6000,6000,0.1531,36 months,other,0.2005,CT,OWN,4891.67,670-674,17,10391,2,3 years
48808,10000,10000,0.0790,36 months,debt_consolidation,0.2609,MA,RENT,2916.67,720-724,10,15957,0,10+ years
22090,33500,33450,0.1714,60 months,credit_card,0.1470,LA,MORTGAGE,13863.42,705-709,12,27874,0,10+ years
76404,14675,14675,0.1433,36 months,credit_card,0.2692,CA,RENT,3150,685-689,9,7246,1,8 years
15867,7000,7000,0.0691,36 months,credit_card,0.0710,CA,RENT,5000,715-719,8,7612,0,3 years
94971,2000,2000,0.1972,36 months,moving,0.1029,FL,RENT,3575,670-674,10,12036,0,6 years
36911,10625,10625,0.1427,36 months,debt_consolidation,0.1254,CA,MORTGAGE,4250,665-669,14,10767,0,< 1 year
41200,28000,27975,0.2167,60 months,debt_consolidation,0.1307,CT,MORTGAGE,14166.67,670-674,12,10311,0,1 year
83869,35000,34950,0.0890,36 months,debt_consolidation,0.2046,CT,RENT,9166.67,735-739,19,21536,0,1 year
53853,9600,9600,0.0762,36 months,debt_consolidation,0.0345,DC,RENT,11250,725-729,13,4606,0,< 1 year
21399,25000,24975,0.1565,60 months,debt_consolidation,0.2199,CA,RENT,5416.67,730-734,6,13929,0,9 years
62127,10000,10000,0.1212,36 months,debt_consolidation,0.1772,CA,RENT,9000,695-699,18,20317,0,7 years
23446,14000,13900.25,0.1037,60 months,debt_consolidation,0.1195,OH,RENT,4333.33,740-744,6,7419,0,9 years
44987,10000,10000,0.0976,36 months,credit_card,0.0713,FL,RENT,2733.33,730-734,7,6112,2,3 years
17977,5200,5175,0.0999,60 months,debt_consolidation,0.1029,AL,MORTGAGE,3750,760-764,10,16094,0,< 1 year
86099,22000,21975,0.2198,36 months,debt_consolidation,0.1119,TX,MORTGAGE,6666.67,665-669,9,23124,0,10+ years
99483,30000,30000,0.1905,60 months,credit_card,0.2125,FL,MORTGAGE,6250,695-699,12,34927,0,6 years
28798,6500,6500,0.1799,60 months,car,0.1963,FL,RENT,4100,665-669,11,11697,1,2 years
24168,17400,17400,0.1199,36 months,credit_card,0.1247,AZ,RENT,6833.33,695-699,7,26587,0,7 years
10356,4000,4000,0.1682,60 months,vacation,0.1371,GA,MORTGAGE,4500,670-674,5,20804,0,3 years
46027,7200,7200,0.0790,36 months,debt_consolidation,0.2482,TX,RENT,5416.67,705-709,8,12017,0,7 years
2238,8000,8000,0.1442,36 months,debt_consolidation,0.2463,MA,RENT,2964.17,675-679,9,8928,2,6 years
65278,8000,8000,0.1531,36 months,debt_consolidation,0.1546,CA,MORTGAGE,2916.67,675-679,13,7152,1,5 years
4227,3000,3000,0.0859,36 months,other,0.0372,MA,MORTGAGE,4167,765-769,4,7074,0,5 years
50182,14500,14500,0.0790,36 months,debt_consolidation,0.0485,GA,MORTGAGE,3958.33,760-764,4,9598,0,4 years
87023,23850,23850,0.2100,60 months,debt_consolidation,0.2881,LA,MORTGAGE,5833.33,685-689,19,25968,3,9 years
46120,14000,14000,0.1212,36 months,debt_consolidation,0.1493,CA,MORTGAGE,10583.33,685-689,9,35457,0,2 years
30756,35000,34975,0.1649,60 months,debt_consolidation,0.0745,GA,MORTGAGE,10416.67,720-724,7,31414,0,8 years
94582,16000,16000,0.1580,60 months,car,0.1194,WV,RENT,5250,685-689,14,154,1,3 years
457,17350,7019.25,0.1355,36 months,debt_consolidation,0.1852,NH,OWN,3666.67,675-679,8,18966,2,6 years
96536,8000,7975,0.0790,36 months,car,0.2962,AL,MORTGAGE,5583.33,780-784,9,6065,1,10+ years
39591,7200,7200,0.0790,36 months,debt_consolidation,0.0798,GA,RENT,5666.67,720-724,5,8783,0,3 years
78862,20125,20125,0.0762,36 months,home_improvement,0.0429,VA,MORTGAGE,3750,830-834,13,73952,0,1 year
54619,12000,11875,0.0890,36 months,debt_consolidation,0.1206,NY,RENT,5000,715-719,11,14717,0,4 years
101798,2400,1850,0.1249,36 months,home_improvement,0.2056,MD,MORTGAGE,3448.33,660-664,10,18749,5,< 1 year
98029,3200,3200,0.1727,36 months,home_improvement,0.0836,HI,MORTGAGE,2500,670-674,7,6619,1,3 years
95579,12725,12725,0.1114,36 months,debt_consolidation,0.2215,TX,RENT,4416.67,720-724,23,4079,0,3 years
4868,5500,5500,0.1913,36 months,credit_card,0.0358,DC,RENT,12000,660-664,2,0,1,8 years
26822,15650,15650,0.2174,36 months,house,0.1386,MD,RENT,3700,660-664,5,10605,1,4 years
98445,9000,9000,0.1727,36 months,credit_card,0.2522,CA,RENT,5166.67,675-679,14,5852,1,10+ years
14958,5000,5000,0.1186,36 months,major_purchase,0.0400,TX,RENT,5577,715-719,3,1069,0,1 year
14754,3000,3000,0.1038,36 months,debt_consolidation,0.1521,PA,RENT,3083.33,710-714,11,3098,0,2 years
34501,20000,19975,0.2391,60 months,debt_consolidation,0.0947,CA,MORTGAGE,11250,670-674,5,11168,0,< 1 year
26888,5450,5450,0.0749,60 months,other,0.0248,WA,MORTGAGE,4600,785-789,14,4326,0,10+ years
81759,14000,14000,0.1212,36 months,debt_consolidation,0.1138,NY,MORTGAGE,4500,705-709,22,18583,0,5 years
10825,8800,8799.04,0.1038,60 months,credit_card,0.2159,IL,RENT,3750,750-754,11,18694,1,2 years
16667,3000,3000,0.1744,36 months,other,0.1579,MD,RENT,7952,660-664,4,12578,0,8 years
92046,32000,32000,0.1727,60 months,debt_consolidation,0.1561,IL,RENT,9250,700-704,15,32566,1,2 years
88279,22250,22250,0.2149,60 months,debt_consolidation,0.2887,HI,RENT,4166.67,665-669,15,14107,0,9 years
17218,7325,7300,0.1780,60 months,debt_consolidation,0.2037,NY,OWN,3000,680-684,6,13583,0,5 years
82406,16450,16450,0.1114,36 months,debt_consolidation,0.0757,NC,RENT,7500,725-729,5,2928,0,1 year
17143,2500,2500,0.1298,36 months,debt_consolidation,0.1645,WI,RENT,1100,670-674,6,5019,1,4 years
27486,6000,6000,0.0999,36 months,other,0.0750,FL,MORTGAGE,2625,715-719,4,5167,0,10+ years
96613,27575,27575,0.1433,36 months,debt_consolidation,0.1963,CA,MORTGAGE,5166.67,690-694,6,8720,0,10+ years
6263,1000,1000,0.0859,36 months,educational,0.1069,NY,OWN,4583.33,755-759,22,17069,1,< 1 year
29283,12000,12000,0.1149,36 months,debt_consolidation,0.1285,IL,RENT,2708.33,705-709,8,12150,1,< 1 year
99766,30000,30000,0.1016,36 months,debt_consolidation,0.2221,SD,MORTGAGE,8000,715-719,14,33218,0,10+ years
85893,13500,13500,0.1433,36 months,debt_consolidation,0.3170,WV,RENT,4166.67,680-684,11,31168,0,1 year
98972,9000,9000,0.1580,36 months,debt_consolidation,0.2265,OH,MORTGAGE,3250,665-669,9,16480,0,3 years
44054,15000,15000,0.0991,36 months,debt_consolidation,0.0916,AK,MORTGAGE,4250,730-734,11,11615,1,10+ years
51948,5300,5300,0.0790,36 months,medical,0.1282,CA,RENT,5500,725-729,8,9996,2,1 year
48676,7000,7000,0.1311,36 months,debt_consolidation,0.1676,NJ,RENT,3650,685-689,12,6444,1,5 years
82294,20000,19975,0.1629,36 months,debt_consolidation,0.1185,CA,RENT,9166.67,685-689,10,12421,3,< 1 year
20328,15000,14993.57,0.1825,60 months,debt_consolidation,0.1365,CA,RENT,2916.67,705-709,4,12786,0,< 1 year
71489,8000,8000,0.1409,36 months,home_improvement,0.1206,HI,RENT,5000,695-699,10,15360,1,6 years
